Niveau,Vraag,Antwoord Optie A,Antwoord Optie B,Antwoord Optie C,Antwoord Optie D,Correct Antwoord
1,"Wat is het volgende getal in de reeks? 2, 4, 6, 8, ?",10,11,10,9,10
1,"Welke hoort er niet bij? Hond, Kat, Vliegtuig, Muis",Hond,Kat,Vliegtuig,Muis,Vliegtuig
1,Wat is het meervoud van 'huis'?,Huisjes,Huisen,Huizen,Huizens,Huizen
1,Welke kleur krijg je door rood en geel te mengen?,Groen,Bruin,Oranje,Paars,Oranje
1,Wat is het tegenovergestelde van 'nat'?,Vochtig,Droog,Warm,Hard,Droog
2,Wat is de afgeleide van f(x) = x²?,x,2x,2,x²,2x
2,Welke zin is grammaticaal correct?,Hun hebben het gedaan,Zij hebben het gedaan,Hun zijn gekomen,Zij heeft het gedaan,Zij hebben het gedaan
2,"Welke getallenreeks is correct voortgezet? 1, 3, 6, 10, ?",15,15,13,14,15
2,Wat is een synoniem voor 'impliciet'?,Duidelijk,Expliciet,Verholen,Kort,Verholen
2,"Welke hoort er niet bij in logische zin? Oorzaak, Gebeurtenis, Reden, Aanleiding",Oorzaak,Gebeurtenis,Reden,Aanleiding,Gebeurtenis
3,Wat volgt logisch? Alle zoogdieren zijn dieren. Alle honden zijn zoogdieren.,Alle honden zijn dieren,Alle dieren zijn honden,Geen conclusie,Alle honden zijn dieren,Alle honden zijn dieren
3,"Welke letter komt logisch gezien als volgende in de reeks? Z, X, V, T, ?",Q,R,S,P,R
3,Wat betekent het woord ‘epistemologie’?,Morele leer,Gedragswetenschap,Leer van kennis,Taalfilosofie,Leer van kennis
3,"Welke bewering is logisch juist? Als het regent, word ik nat. Het regent niet.",Ik word nat,Ik word misschien niet nat,Het regent,Ik word zeker nat,Ik word misschien niet nat
3,Wat is de betekenis van 'a priori'?,Na ervaring,Voorafgaand aan ervaring,Zonder logica,Door observatie,Voorafgaand aan ervaring
