categorie,moeilijkheid,vraag,optie_a,optie_b,optie_c,optie_d,correcte_optie
Rekenen,1,Wat is de wortel van 121?,11,10,12,13,A
Logisch redeneren,2,"Als 5 = 10, 6 = 12, dan is 7 = ?",14,15,13,12,A
Logisch redeneren,1,"Als 5 = 10, 6 = 12, dan is 7 = ?",14,15,13,12,A
Algemene kennis,1,Wie schilderde 'De Sterrennacht'?,Van Gogh,Monet,Picasso,Rembrandt,A
Logisch redeneren,2,"Voltooi: 3, 9, 27, ?",81,72,90,63,A
Taalvaardigheid,1,Welke spelling is correct?,paralel,parallel,parallell,paralell,B
Taalvaardigheid,2,Kies het juiste woord: Hij heeft het ____ gedaan.,goeie,goed,goeden,goeds,B
Rekenen,2,Wat is de wortel van 121?,11,10,12,13,A
Rekenen,2,"Wat is het gemiddelde van 10, 20 en 30?",20,25,15,30,A
Algemene kennis,1,Wat is het symbool voor water?,H2O,CO2,O2,NaCl,A
Logisch redeneren,3,"Voltooi de reeks: 2, 6, 12, 20, ?",30,28,26,24,A
Taalvaardigheid,2,Welke zin is juist?,Hun lopen naar school,Zij hebben gewonnen,Me moeder is jarig,Ik heb hun gezien,B
Taalvaardigheid,2,Wat is het meervoud van 'crisis'?,crisissen,crisi,crises,crisis'en,C
Algemene kennis,3,Wat is het symbool voor water?,H2O,CO2,O2,NaCl,A
Algemene kennis,1,In welk jaar begon de Tweede Wereldoorlog?,1939,1945,1914,1929,A
Logisch redeneren,2,"Als je huisdieren hebt, heb je dieren. Je hebt huisdieren. Wat volgt?",Je hebt dieren,Je hebt mensen,Je hebt bloemen,Je hebt niets,A
Taalvaardigheid,1,Wat is het juiste voltooid deelwoord van 'vinden'?,gevonden,gevond,vonden,vond,A
Rekenen,3,Wat is 20% van 150?,30,25,35,40,A
Taalvaardigheid,3,Wat is het meervoud van 'crisis'?,crisissen,crisi,crises,crisis'en,C
Logisch redeneren,1,"Voltooi: 3, 9, 27, ?",81,72,90,63,A
Taalvaardigheid,2,Wat is het meervoud van 'crisis'?,crisissen,crisi,crises,crisis'en,C
Taalvaardigheid,3,Kies het juiste woord: Hij heeft het ____ gedaan.,goeie,goed,goeden,goeds,B
Algemene kennis,2,Wat is de hoofdstad van Canada?,Ottawa,Toronto,Vancouver,Montreal,A
Logisch redeneren,1,"Als je huisdieren hebt, heb je dieren. Je hebt huisdieren. Wat volgt?",Je hebt dieren,Je hebt mensen,Je hebt bloemen,Je hebt niets,A
Rekenen,3,Los op: 100 - (3 x 5) = ?,85,90,95,80,A
Rekenen,1,"Wat is het gemiddelde van 10, 20 en 30?",20,25,15,30,A
Algemene kennis,1,Wie schilderde 'De Sterrennacht'?,Van Gogh,Monet,Picasso,Rembrandt,A
Taalvaardigheid,2,Welke spelling is correct?,paralel,parallel,parallell,paralell,B
Rekenen,1,Hoeveel is 7 x 9?,63,56,64,72,A
Algemene kennis,1,Wat is de hoofdstad van Canada?,Ottawa,Toronto,Vancouver,Montreal,A
Rekenen,2,Wat is 20% van 150?,30,25,35,40,A
Logisch redeneren,1,"Voltooi de reeks: 2, 6, 12, 20, ?",30,28,26,24,A
Rekenen,1,Hoeveel is 7 x 9?,63,56,64,72,A
Rekenen,2,Wat is 20% van 150?,30,25,35,40,A
Logisch redeneren,1,"Als alle P Q zijn en geen Q is R, wat volgt dan?",P is R,Sommige P zijn R,Geen P is R,Alle R zijn P,C
Algemene kennis,1,Wat is het symbool voor water?,H2O,CO2,O2,NaCl,A
Algemene kennis,2,Wat is het symbool voor water?,H2O,CO2,O2,NaCl,A
Taalvaardigheid,2,Kies het juiste woord: Hij heeft het ____ gedaan.,goeie,goed,goeden,goeds,B
Logisch redeneren,1,"Als 5 = 10, 6 = 12, dan is 7 = ?",14,15,13,12,A
Taalvaardigheid,2,Kies het juiste woord: Hij heeft het ____ gedaan.,goeie,goed,goeden,goeds,B
Logisch redeneren,3,"Voltooi: 3, 9, 27, ?",81,72,90,63,A
Algemene kennis,1,Wat is het symbool voor water?,H2O,CO2,O2,NaCl,A
Algemene kennis,3,Wat is de hoofdstad van Canada?,Ottawa,Toronto,Vancouver,Montreal,A
Rekenen,1,Los op: 100 - (3 x 5) = ?,85,90,95,80,A
Rekenen,3,Los op: 100 - (3 x 5) = ?,85,90,95,80,A
Logisch redeneren,3,"Als 5 = 10, 6 = 12, dan is 7 = ?",14,15,13,12,A
Taalvaardigheid,1,Welke spelling is correct?,paralel,parallel,parallell,paralell,B
Rekenen,2,"Wat is het gemiddelde van 10, 20 en 30?",20,25,15,30,A
Algemene kennis,1,Wie schilderde 'De Sterrennacht'?,Van Gogh,Monet,Picasso,Rembrandt,A
Taalvaardigheid,1,Wat is het meervoud van 'crisis'?,crisissen,crisi,crises,crisis'en,C
Rekenen,2,Wat is 20% van 150?,30,25,35,40,A
Logisch redeneren,1,"Als je huisdieren hebt, heb je dieren. Je hebt huisdieren. Wat volgt?",Je hebt dieren,Je hebt mensen,Je hebt bloemen,Je hebt niets,A
Taalvaardigheid,2,Wat is het meervoud van 'crisis'?,crisissen,crisi,crises,crisis'en,C
Algemene kennis,1,Wat is de hoofdstad van Canada?,Ottawa,Toronto,Vancouver,Montreal,A
Logisch redeneren,2,"Als 5 = 10, 6 = 12, dan is 7 = ?",14,15,13,12,A
Logisch redeneren,2,"Voltooi: 3, 9, 27, ?",81,72,90,63,A
Algemene kennis,1,Wat is het symbool voor water?,H2O,CO2,O2,NaCl,A
Algemene kennis,2,Wat is het symbool voor water?,H2O,CO2,O2,NaCl,A
Taalvaardigheid,2,Wat is het meervoud van 'crisis'?,crisissen,crisi,crises,crisis'en,C
Rekenen,2,Los op: 100 - (3 x 5) = ?,85,90,95,80,A
